"Plot Title: EHP-07"
"#","Date Time, GMT-03:00","Chuva, mm (LGR S/N: 10364362, SEN S/N: 10364362, LBL: mm)","Soma Acum.: Chuva, mm (LGR S/N: 10364362)"
68,03/14/20 06:31:05 PM,9.8,
69,03/14/20 06:31:29 PM,10.0,
70,03/14/20 06:31:52 PM,10.2,
71,03/14/20 06:32:16 PM,10.4,
72,03/14/20 06:32:37 PM,10.6,
73,03/14/20 06:33:01 PM,10.8,
74,03/14/20 06:33:29 PM,11.0,
75,03/14/20 06:33:53 PM,11.2,
76,03/14/20 06:34:22 PM,11.4,
77,03/14/20 06:34:57 PM,11.6,
78,03/14/20 06:35:25 PM,11.8,
79,03/14/20 06:36:01 PM,12.0,
80,03/14/20 06:36:34 PM,12.2,
81,03/14/20 06:37:14 PM,12.4,
82,03/14/20 06:37:53 PM,12.6,
83,03/14/20 06:38:35 PM,12.8,
84,03/14/20 06:39:05 PM,13.0,
85,03/14/20 06:39:18 PM,13.2,
86,03/14/20 06:39:30 PM,13.4,
87,03/14/20 06:39:43 PM,13.6,
88,03/14/20 06:39:57 PM,13.8,
89,03/14/20 06:40:14 PM,14.0,
90,03/14/20 06:40:32 PM,14.2,
91,03/14/20 06:40:49 PM,14.4,
92,03/14/20 06:41:01 PM,14.6,
93,03/14/20 06:41:13 PM,14.8,
94,03/14/20 06:41:25 PM,15.0,
95,03/14/20 06:41:39 PM,15.2,
96,03/14/20 06:41:52 PM,15.4,
97,03/14/20 06:42:05 PM,15.6,
98,03/14/20 06:42:18 PM,15.8,
99,03/14/20 06:42:33 PM,16.0,
100,03/14/20 06:42:48 PM,16.2,
101,03/14/20 06:43:03 PM,16.4,
102,03/14/20 06:43:17 PM,16.6,
103,03/14/20 06:43:35 PM,16.8,
104,03/14/20 06:44:00 PM,17.0,
105,03/14/20 06:44:34 PM,17.2,
106,03/14/20 06:45:42 PM,17.4,
107,03/14/20 06:48:31 PM,17.6,
108,03/14/20 06:49:23 PM,17.8,
109,03/14/20 06:49:43 PM,18.0,
110,03/14/20 06:50:03 PM,18.2,
111,03/14/20 06:50:27 PM,18.4,
112,03/14/20 06:50:49 PM,18.6,
113,03/14/20 06:51:48 PM,18.8,
114,03/14/20 07:16:10 PM,19.0,
115,03/14/20 09:29:00 PM,19.2,
116,03/14/20 10:35:50 PM,19.4,
117,03/15/20 12:00:00 AM,,5.2
118,03/15/20 06:38:05 PM,19.6,
119,03/15/20 07:09:54 PM,19.8,
120,03/15/20 07:29:45 PM,20.0,
121,03/15/20 07:58:21 PM,20.2,
122,03/15/20 08:27:33 PM,20.4,
123,03/15/20 08:32:48 PM,20.6,
124,03/15/20 08:41:48 PM,20.8,
125,03/15/20 08:47:49 PM,21.0,
126,03/15/20 08:53:36 PM,21.2,
127,03/15/20 08:57:45 PM,21.4,
128,03/15/20 09:02:17 PM,21.6,
129,03/15/20 09:06:59 PM,21.8,
130,03/15/20 09:11:40 PM,22.0,
131,03/15/20 09:17:05 PM,22.2,
132,03/15/20 09:21:22 PM,22.4,
133,03/15/20 09:26:04 PM,22.6,
134,03/15/20 09:32:55 PM,22.8,
135,03/15/20 09:37:15 PM,23.0,
136,03/15/20 09:43:14 PM,23.2,
137,03/15/20 09:53:32 PM,23.4,
138,03/15/20 09:55:56 PM,23.6,
139,03/15/20 09:59:32 PM,23.8,
140,03/15/20 10:07:13 PM,24.0,
141,03/15/20 10:16:48 PM,24.2,
142,03/15/20 10:28:29 PM,24.4,
143,03/15/20 11:36:16 PM,24.6,
144,03/16/20 12:00:00 AM,,0.6
145,03/16/20 05:30:06 AM,24.8,
146,03/16/20 05:40:19 AM,25.0,
147,03/16/20 05:48:18 AM,25.2,
148,03/17/20 12:00:00 AM,,0.2
149,03/17/20 05:40:46 AM,25.4,
150,03/18/20 12:00:00 AM,,14.0
151,03/18/20 05:35:49 AM,25.6,
152,03/18/20 05:36:39 AM,25.8,
153,03/18/20 05:37:15 AM,26.0,
154,03/18/20 05:37:35 AM,26.2,
155,03/18/20 05:37:57 AM,26.4,
156,03/18/20 05:38:22 AM,26.6,
157,03/18/20 05:38:47 AM,26.8,
158,03/18/20 05:39:08 AM,27.0,
159,03/18/20 05:39:24 AM,27.2,
160,03/18/20 05:39:38 AM,27.4,
161,03/18/20 05:39:51 AM,27.6,
162,03/18/20 05:40:06 AM,27.8,
163,03/18/20 05:40:25 AM,28.0,
164,03/18/20 05:40:50 AM,28.2,
165,03/18/20 05:41:11 AM,28.4,
166,03/18/20 05:41:29 AM,28.6,
167,03/18/20 05:41:51 AM,28.8,
168,03/18/20 05:42:17 AM,29.0,
169,03/18/20 05:42:42 AM,29.2,
170,03/18/20 05:43:07 AM,29.4,
171,03/18/20 05:43:30 AM,29.6,
172,03/18/20 05:43:48 AM,29.8,
173,03/18/20 05:44:08 AM,30.0,
174,03/18/20 05:44:24 AM,30.2,
175,03/18/20 05:44:44 AM,30.4,
176,03/18/20 05:45:00 AM,30.6,
177,03/18/20 05:45:18 AM,30.8,
178,03/18/20 05:45:33 AM,31.0,
179,03/18/20 05:45:55 AM,31.2,
180,03/18/20 05:46:19 AM,31.4,
181,03/18/20 05:46:53 AM,31.6,
182,03/18/20 05:47:32 AM,31.8,
183,03/18/20 05:48:26 AM,32.0,
184,03/18/20 05:49:26 AM,32.2,
185,03/18/20 05:50:25 AM,32.4,
186,03/18/20 05:51:08 AM,32.6,
187,03/18/20 05:52:03 AM,32.8,
188,03/18/20 05:53:08 AM,33.0,
189,03/18/20 05:54:19 AM,33.2,
190,03/18/20 05:55:55 AM,33.4,
191,03/18/20 05:57:33 AM,33.6,
192,03/18/20 05:58:56 AM,33.8,
193,03/18/20 06:01:09 AM,34.0,
194,03/18/20 06:03:09 AM,34.2,
195,03/18/20 06:05:28 AM,34.4,
196,03/18/20 06:07:43 AM,34.6,
197,03/18/20 06:09:56 AM,34.8,
198,03/18/20 06:11:59 AM,35.0,
199,03/18/20 06:13:42 AM,35.2,
200,03/18/20 06:15:12 AM,35.4,
201,03/18/20 06:17:31 AM,35.6,
202,03/18/20 06:20:11 AM,35.8,
203,03/18/20 06:23:29 AM,36.0,
204,03/18/20 06:26:38 AM,36.2,
205,03/18/20 06:29:52 AM,36.4,
206,03/18/20 06:32:55 AM,36.6,
207,03/18/20 06:37:01 AM,36.8,
208,03/18/20 06:41:04 AM,37.0,
209,03/18/20 06:45:54 AM,37.2,
210,03/18/20 06:49:58 AM,37.4,
211,03/18/20 06:56:18 AM,37.6,
212,03/18/20 07:01:36 AM,37.8,
213,03/18/20 07:07:52 AM,38.0,
214,03/18/20 07:17:41 AM,38.2,
215,03/18/20 07:29:14 AM,38.4,
216,03/18/20 07:42:41 AM,38.6,
217,03/18/20 08:02:07 AM,38.8,
218,03/18/20 08:19:06 AM,39.0,
219,03/18/20 08:32:08 AM,39.2,
220,03/18/20 09:24:20 AM,39.4,
221,03/19/20 12:00:00 AM,,0.0
222,03/20/20 12:00:00 AM,,0.0
223,03/21/20 12:00:00 AM,,0.0
224,03/22/20 12:00:00 AM,,0.0
225,03/23/20 12:00:00 AM,,0.0
226,03/24/20 12:00:00 AM,,0.0
227,03/25/20 12:00:00 AM,,0.0
228,03/26/20 12:00:00 AM,,0.0
229,03/27/20 12:00:00 AM,,0.0
230,03/28/20 12:00:00 AM,,0.0
231,03/29/20 12:00:00 AM,,0.2
232,03/29/20 05:32:30 AM,39.6,
233,03/30/20 12:00:00 AM,,0.0
234,03/31/20 12:00:00 AM,,1.4
235,03/31/20 05:11:09 PM,39.8,
236,03/31/20 05:44:44 PM,40.0,
237,03/31/20 05:46:49 PM,40.2,
238,03/31/20 05:47:51 PM,40.4,
239,03/31/20 05:48:58 PM,40.6,
240,03/31/20 05:58:49 PM,40.8,
241,03/31/20 09:24:29 PM,41.0,
242,04/01/20 12:00:00 AM,,1.2
243,04/01/20 12:39:44 AM,41.2,
244,04/01/20 01:15:29 AM,41.4,
245,04/01/20 01:44:56 AM,41.6,
246,04/01/20 01:53:12 AM,41.8,
247,04/01/20 01:55:35 AM,42.0,
248,04/01/20 02:06:53 AM,42.2,
249,04/02/20 12:00:00 AM,,36.4
250,04/02/20 12:52:12 AM,42.4,
251,04/02/20 01:00:34 AM,42.6,
252,04/02/20 01:03:31 AM,42.8,
253,04/02/20 01:04:19 AM,43.0,
254,04/02/20 01:05:05 AM,43.2,
255,04/02/20 01:05:44 AM,43.4,
256,04/02/20 01:06:35 AM,43.6,
257,04/02/20 01:07:20 AM,43.8,
258,04/02/20 01:08:05 AM,44.0,
259,04/02/20 01:08:46 AM,44.2,
260,04/02/20 01:09:47 AM,44.4,
261,04/02/20 01:10:54 AM,44.6,
262,04/02/20 01:12:17 AM,44.8,
263,04/02/20 01:13:59 AM,45.0,
264,04/02/20 01:15:37 AM,45.2,
265,04/02/20 01:17:00 AM,45.4,
266,04/02/20 01:17:50 AM,45.6,
267,04/02/20 01:18:18 AM,45.8,
268,04/02/20 01:18:50 AM,46.0,
269,04/02/20 01:19:31 AM,46.2,
270,04/02/20 01:20:23 AM,46.4,
271,04/02/20 01:21:19 AM,46.6,
272,04/02/20 01:23:05 AM,46.8,
273,04/02/20 01:25:48 AM,47.0,
274,04/02/20 01:28:33 AM,47.2,
275,04/02/20 01:30:23 AM,47.4,
276,04/02/20 01:32:35 AM,47.6,
277,04/02/20 01:35:03 AM,47.8,
278,04/02/20 01:37:13 AM,48.0,
279,04/02/20 01:39:06 AM,48.2,
280,04/02/20 01:40:57 AM,48.4,
281,04/02/20 01:42:59 AM,48.6,
282,04/02/20 01:44:58 AM,48.8,
283,04/02/20 01:46:34 AM,49.0,
284,04/02/20 01:48:36 AM,49.2,
285,04/02/20 01:50:37 AM,49.4,
286,04/02/20 01:52:12 AM,49.6,
287,04/02/20 01:53:29 AM,49.8,
288,04/02/20 01:55:28 AM,50.0,
289,04/02/20 01:58:04 AM,50.2,
290,04/02/20 01:59:35 AM,50.4,
291,04/02/20 02:00:31 AM,50.6,
292,04/02/20 02:01:29 AM,50.8,
293,04/02/20 02:02:06 AM,51.0,
294,04/02/20 02:02:47 AM,51.2,
295,04/02/20 02:03:14 AM,51.4,
296,04/02/20 02:03:46 AM,51.6,
297,04/02/20 02:04:19 AM,51.8,
298,04/02/20 02:05:08 AM,52.0,
299,04/02/20 02:06:00 AM,52.2,
300,04/02/20 02:06:49 AM,52.4,
301,04/02/20 02:07:26 AM,52.6,
302,04/02/20 02:07:56 AM,52.8,
303,04/02/20 02:08:15 AM,53.0,
304,04/02/20 02:08:33 AM,53.2,
305,04/02/20 02:08:51 AM,53.4,
306,04/02/20 02:09:14 AM,53.6,
307,04/02/20 02:09:37 AM,53.8,
308,04/02/20 02:10:08 AM,54.0,
309,04/02/20 02:10:52 AM,54.2,
310,04/02/20 02:11:41 AM,54.4,
311,04/02/20 02:12:20 AM,54.6,
312,04/02/20 02:12:55 AM,54.8,
313,04/02/20 02:13:24 AM,55.0,
314,04/02/20 02:13:54 AM,55.2,
315,04/02/20 02:14:25 AM,55.4,
316,04/02/20 02:14:57 AM,55.6,
317,04/02/20 02:15:36 AM,55.8,
318,04/02/20 02:16:16 AM,56.0,
319,04/02/20 02:16:49 AM,56.2,
320,04/02/20 02:17:27 AM,56.4,
321,04/02/20 02:18:00 AM,56.6,
322,04/02/20 02:18:39 AM,56.8,
323,04/02/20 02:19:13 AM,57.0,
324,04/02/20 02:19:51 AM,57.2,
325,04/02/20 02:20:33 AM,57.4,
326,04/02/20 02:21:17 AM,57.6,
327,04/02/20 02:22:12 AM,57.8,
328,04/02/20 02:23:28 AM,58.0,
329,04/02/20 02:24:25 AM,58.2,
330,04/02/20 02:25:05 AM,58.4,
331,04/02/20 02:25:34 AM,58.6,
332,04/02/20 02:26:13 AM,58.8,
333,04/02/20 02:26:44 AM,59.0,
334,04/02/20 02:27:22 AM,59.2,
335,04/02/20 02:27:57 AM,59.4,
336,04/02/20 02:28:48 AM,59.6,
337,04/02/20 02:29:40 AM,59.8,
338,04/02/20 02:31:11 AM,60.0,
339,04/02/20 02:32:59 AM,60.2,
340,04/02/20 02:34:56 AM,60.4,
341,04/02/20 02:36:35 AM,60.6,
342,04/02/20 02:38:06 AM,60.8,
343,04/02/20 02:39:00 AM,61.0,
344,04/02/20 02:39:50 AM,61.2,
345,04/02/20 02:40:27 AM,61.4,
346,04/02/20 02:41:01 AM,61.6,
347,04/02/20 02:41:30 AM,61.8,
348,04/02/20 02:42:02 AM,62.0,
349,04/02/20 02:42:37 AM,62.2,
350,04/02/20 02:43:12 AM,62.4,
351,04/02/20 02:43:45 AM,62.6,
352,04/02/20 02:44:22 AM,62.8,
353,04/02/20 02:44:58 AM,63.0,
354,04/02/20 02:45:43 AM,63.2,
355,04/02/20 02:46:31 AM,63.4,
356,04/02/20 02:47:36 AM,63.6,
357,04/02/20 02:48:25 AM,63.8,
358,04/02/20 02:49:30 AM,64.0,
359,04/02/20 02:50:26 AM,64.2,
360,04/02/20 02:51:34 AM,64.4,
361,04/02/20 02:52:24 AM,64.6,
362,04/02/20 02:53:14 AM,64.8,
363,04/02/20 02:53:56 AM,65.0,
364,04/02/20 02:54:39 AM,65.2,
365,04/02/20 02:55:25 AM,65.4,
366,04/02/20 02:56:10 AM,65.6,
367,04/02/20 02:56:52 AM,65.8,
368,04/02/20 02:57:33 AM,66.0,
369,04/02/20 02:58:08 AM,66.2,
370,04/02/20 02:58:49 AM,66.4,
371,04/02/20 02:59:26 AM,66.6,
372,04/02/20 03:00:13 AM,66.8,
373,04/02/20 03:00:55 AM,67.0,
374,04/02/20 03:01:39 AM,67.2,
375,04/02/20 03:02:11 AM,67.4,
376,04/02/20 03:02:45 AM,67.6,
377,04/02/20 03:03:18 AM,67.8,
378,04/02/20 03:03:56 AM,68.0,
379,04/02/20 03:04:35 AM,68.2,
380,04/02/20 03:05:17 AM,68.4,
381,04/02/20 03:06:02 AM,68.6,
382,04/02/20 03:06:53 AM,68.8,
383,04/02/20 03:07:42 AM,69.0,
384,04/02/20 03:08:51 AM,69.2,
385,04/02/20 03:09:55 AM,69.4,
386,04/02/20 03:11:11 AM,69.6,
387,04/02/20 03:12:05 AM,69.8,
388,04/02/20 03:13:14 AM,70.0,
389,04/02/20 03:14:27 AM,70.2,
390,04/02/20 03:16:24 AM,70.4,
391,04/02/20 03:18:03 AM,70.6,
392,04/02/20 03:19:42 AM,70.8,
393,04/02/20 03:21:04 AM,71.0,
394,04/02/20 03:22:40 AM,71.2,
395,04/02/20 03:24:08 AM,71.4,
396,04/02/20 03:25:56 AM,71.6,
397,04/02/20 03:27:40 AM,71.8,
398,04/02/20 03:29:48 AM,72.0,
399,04/02/20 03:31:46 AM,72.2,
400,04/02/20 03:34:13 AM,72.4,
401,04/02/20 03:35:46 AM,72.6,
402,04/02/20 03:37:04 AM,72.8,
403,04/02/20 03:38:01 AM,73.0,
404,04/02/20 03:39:19 AM,73.2,
405,04/02/20 03:40:43 AM,73.4,
406,04/02/20 03:42:26 AM,73.6,
407,04/02/20 03:44:50 AM,73.8,
408,04/02/20 03:46:43 AM,74.0,
409,04/02/20 03:47:45 AM,74.2,
410,04/02/20 03:48:54 AM,74.4,
411,04/02/20 03:50:00 AM,74.6,
412,04/02/20 03:51:21 AM,74.8,
413,04/02/20 03:52:48 AM,75.0,
414,04/02/20 03:55:07 AM,75.2,
415,04/02/20 03:58:24 AM,75.4,
416,04/02/20 04:16:23 AM,75.6,
417,04/02/20 04:23:20 AM,75.8,
418,04/02/20 04:26:44 AM,76.0,
419,04/02/20 04:30:34 AM,76.2,
420,04/02/20 04:36:41 AM,76.4,
421,04/02/20 04:39:04 AM,76.6,
422,04/02/20 04:41:47 AM,76.8,
423,04/02/20 04:44:33 AM,77.0,
424,04/02/20 04:46:32 AM,77.2,
425,04/02/20 04:49:04 AM,77.4,
426,04/02/20 04:52:01 AM,77.6,
427,04/02/20 04:55:00 AM,77.8,
428,04/02/20 04:58:18 AM,78.0,
429,04/02/20 05:03:12 AM,78.2,
430,04/02/20 05:36:36 AM,78.4,
431,04/02/20 05:57:02 AM,78.6,
432,04/03/20 12:00:00 AM,,0.0
433,04/04/20 12:00:00 AM,,0.0
434,04/05/20 12:00:00 AM,,0.0
435,04/06/20 12:00:00 AM,,0.6
436,04/06/20 04:35:36 AM,78.8,
437,04/06/20 04:45:28 AM,79.0,
438,04/06/20 05:56:45 AM,79.2,
439,04/07/20 12:00:00 AM,,0.0
440,04/08/20 12:00:00 AM,,0.0
441,04/09/20 12:00:00 AM,,0.2
442,04/09/20 06:34:10 AM,79.4,
443,04/10/20 12:00:00 AM,,0.8
444,04/10/20 03:43:20 PM,79.6,
445,04/10/20 03:45:27 PM,79.8,
446,04/10/20 03:47:49 PM,80.0,
447,04/10/20 07:59:08 PM,80.2,
448,04/11/20 12:00:00 AM,,0.0
449,04/12/20 12:00:00 AM,,0.2
450,04/12/20 06:41:14 AM,80.4,
451,04/13/20 12:00:00 AM,,0.0
452,04/14/20 12:00:00 AM,,1.2
453,04/14/20 12:00:04 AM,80.6,
454,04/14/20 02:47:58 AM,80.8,
455,04/14/20 01:26:16 PM,81.0,
456,04/14/20 01:29:18 PM,81.2,
457,04/14/20 01:30:42 PM,81.4,
458,04/14/20 02:18:19 PM,81.6,
459,04/15/20 12:00:00 AM,,0.0
460,04/16/20 12:00:00 AM,,0.0
461,04/17/20 12:00:00 AM,,0.0
462,04/18/20 12:00:00 AM,,0.0
463,04/19/20 12:00:00 AM,,0.0
464,04/20/20 12:00:00 AM,,0.0
465,04/21/20 12:00:00 AM,,0.0
466,04/22/20 12:00:00 AM,,0.0
467,04/23/20 12:00:00 AM,,0.0
468,04/24/20 12:00:00 AM,,0.0
469,04/25/20 12:00:00 AM,,0.0
470,04/26/20 12:00:00 AM,,0.0
471,04/27/20 12:00:00 AM,,0.0
472,04/28/20 12:00:00 AM,,2.4
473,04/28/20 12:45:30 AM,81.8,
474,04/28/20 12:52:12 AM,82.0,
475,04/28/20 12:55:49 AM,82.2,
476,04/28/20 12:59:23 AM,82.4,
477,04/28/20 01:01:31 AM,82.6,
478,04/28/20 01:03:55 AM,82.8,
479,04/28/20 01:05:29 AM,83.0,
480,04/28/20 01:07:52 AM,83.2,
481,04/28/20 01:11:42 AM,83.4,
482,04/28/20 01:16:44 AM,83.6,
483,04/28/20 01:38:59 AM,83.8,
484,04/28/20 02:17:25 AM,84.0,
485,04/29/20 12:00:00 AM,,9.2
486,04/29/20 12:11:38 AM,84.2,
487,04/29/20 12:15:22 AM,84.4,
488,04/29/20 12:16:30 AM,84.6,
489,04/29/20 12:18:05 AM,84.8,
490,04/29/20 12:19:53 AM,85.0,
491,04/29/20 12:21:12 AM,85.2,
492,04/29/20 12:21:39 AM,85.4,
493,04/29/20 12:22:10 AM,85.6,
494,04/29/20 12:22:28 AM,85.8,
495,04/29/20 12:22:36 AM,86.0,
496,04/29/20 12:22:44 AM,86.2,
497,04/29/20 12:22:51 AM,86.4,
498,04/29/20 12:22:58 AM,86.6,
499,04/29/20 12:23:09 AM,86.8,
500,04/29/20 12:23:17 AM,87.0,
501,04/29/20 12:23:31 AM,87.2,
502,04/29/20 12:23:46 AM,87.4,
503,04/29/20 12:24:14 AM,87.6,
504,04/29/20 12:24:41 AM,87.8,
505,04/29/20 12:25:29 AM,88.0,
506,04/29/20 12:26:19 AM,88.2,
507,04/29/20 12:27:26 AM,88.4,
508,04/29/20 12:28:02 AM,88.6,
509,04/29/20 12:28:53 AM,88.8,
510,04/29/20 12:30:07 AM,89.0,
511,04/29/20 12:33:31 AM,89.2,
512,04/29/20 01:08:11 AM,89.4,
513,04/29/20 01:17:30 AM,89.6,
514,04/29/20 01:42:00 AM,89.8,
515,04/29/20 01:47:58 AM,90.0,
516,04/29/20 02:03:39 AM,90.2,
517,04/29/20 02:17:49 AM,90.4,
518,04/29/20 02:27:45 AM,90.6,
519,04/29/20 02:34:39 AM,90.8,
520,04/29/20 02:35:06 AM,91.0,
521,04/29/20 02:35:43 AM,91.2,
522,04/29/20 02:37:08 AM,91.4,
523,04/29/20 02:41:21 AM,91.6,
524,04/29/20 02:42:23 AM,91.8,
525,04/29/20 02:43:44 AM,92.0,
526,04/29/20 02:44:00 AM,92.2,
527,04/29/20 02:44:37 AM,92.4,
528,04/29/20 02:46:30 AM,92.6,
529,04/29/20 02:52:15 AM,92.8,
530,04/29/20 03:01:18 AM,93.0,
531,04/29/20 05:08:53 AM,93.2,
532,04/30/20 12:00:00 AM,,0.0
533,05/01/20 12:00:00 AM,,0.0
534,05/02/20 12:00:00 AM,,0.0
535,05/03/20 12:00:00 AM,,0.0
536,05/04/20 12:00:00 AM,,1.8
537,05/04/20 09:20:12 PM,93.4,
538,05/04/20 09:29:24 PM,93.6,
539,05/04/20 09:36:08 PM,93.8,
540,05/04/20 09:46:31 PM,94.0,
541,05/04/20 09:53:49 PM,94.2,
542,05/04/20 10:00:49 PM,94.4,
543,05/04/20 10:17:16 PM,94.6,
544,05/04/20 10:50:34 PM,94.8,
545,05/04/20 11:39:59 PM,95.0,
546,05/05/20 12:00:00 AM,,0.0
547,05/06/20 12:00:00 AM,,0.0
548,05/07/20 12:00:00 AM,,0.0
549,05/08/20 12:00:00 AM,,0.0
550,05/08/20 11:46:46 AM,95.0,
